date,boll,cci,dma,kdj,mtm,macd,sar,close,open,high,low,volume,swing
2000/1/4,1410.8415,0.0092,-65.5454,39.0785,36.91,-22.775,1408.4821,1406.371,1368.693,1407.518,1361.214,903402300,3.38831243
2000/1/5,1409.5123,54.0899,-64.7767,50.723,54.315,-19.0662,1341.933,1409.682,1407.829,1433.78,1398.323,1057998400,2.521169734
2000/1/6,1410.2596,110.9624,-57.8457,67.1452,118.59,-11.6148,1343.7699,1463.942,1406.036,1463.955,1400.253,1348051500,4.518891495
2000/1/7,1413.3802,207.4453,-45.6151,76.956,167.783,-1.4434,1348.5773,1516.604,1477.154,1522.825,1477.154,3451569900,3.119727421
2000/1/10,1417.6163,200.1453,-28.2158,84.3762,188.186,8.8162,1359.0322,1545.112,1531.712,1546.723,1506.404,3125353900,2.65850545
2000/1/11,1418.8727,120.1674,-15.0795,78.5807,113.201,11.5423,1374.0475,1479.781,1547.678,1547.708,1468.757,2192455400,5.109726674
2000/1/12,1418.9567,51.8772,-4.4819,67.9522,31.649,10.2152,1391.4135,1438.02,1473.761,1489.28,1434.996,1522286900,3.668380659
2000/1/13,1418.4647,16.8531,4.4533,56.997,14.76,7.976,1407.043,1424.442,1437.453,1444.066,1418.814,861291200,1.756025646
2000/1/14,1417.7667,-5.3982,11.2179,46.5119,-55.094,4.8867,1547.708,1408.848,1426.224,1433.474,1401.706,744701200,2.230206635
2000/1/17,1417.9617,-0.049,18.74,38.8193,-83.274,4.3636,1544.788,1433.33,1408.988,1433.383,1402.663,764983100,2.180504923
2000/1/18,1418.03,2.561,21.5293,31.8407,-118.489,3.369,1541.9263,1426.623,1436.888,1443.592,1421.642,776712800,1.53139891
2000/1/19,1418.953,2.7697,25.1237,30.1352,-39.057,3.6762,1539.1219,1440.724,1425.874,1443.672,1425.143,800659600,1.298801435
2000/1/20,1420.4116,32.1939,25.506,34.966,28.843,5.9602,1536.3736,1466.863,1443.094,1466.901,1443.094,1007080200,1.652433082
2000/1/21,1422.2569,36.2525,20.333,37.7805,40.643,7.5399,1533.6994,1465.085,1471.905,1476.456,1458.925,1505097300,1.195135469
2000/1/24,1424.3754,29.7989,13.0124,53.9772,68.496,9.6696,1531.4582,1477.344,1465.858,1477.412,1449.472,1624151500,1.907056587
2000/1/25,1425.3542,44.5414,12.0329,64.0761,43.176,11.161,1529.3319,1476.506,1483.033,1490.464,1467.438,1363598700,1.55860788
